"Subsection Code","Section","Subsection","Metadata"
"1.0","Titre","Titre","Terres, intrants et indicateurs de durabilité / Occupation des sols - Métadonnées"
"2.1","Informations sur la source des données","Organisation responsable de la compilation","Food and Agriculture Organization of the United Nations (FAO)"
"2.2","Informations sur la source des données","Source des données","https://www.fao.org/faostat/en/#data/LC/metadata"
"3.1","Contacts","Organisation à contacter","Food and Agriculture Organization of the United Nations (FAO)"
"3.2","Contacts","Unité de l’organisation à contacter","Statistics Division (ESS), Environment Statistics team"
"3.3","Contacts","Adresse postale","Viale delle Terme di Caracalla, 00153 Rome, Italy"
"3.4","Contacts","Adresse électronique","faostat@fao.org"
"4.1","Mise à jour des métadonnées","Métadonnées publiées en dernier lieu","22/06/2025"
"4.2","Mise à jour des métadonnées","Dernière mise à jour des métadonnées","22/06/2025"
"5.1","Présentation statistique","Description des données","The FAOSTAT domain on Land Cover data under the Agri-Environmental Indicators section contains land cover information organized by the land cover classes of the international standard system for Environmental and Economic Accounting Central Framework (SEEA CF). The land cover information is compiled from publicly available Global Land Cover (GLC) maps: a) MODIS land cover types based on the Land Cover Classification System, LCCS (2001–2021); b) The European Spatial Agency (ESA) Climate Change Initiative (CCI) annual land cover maps (1992–2020) produced by the Université catholique de Louvain (UCL)-Geomatics and now under the European Copernicus Program; c) The annual land cover maps which were produced under the European Copernicus Global Land Service (CGLS) (CGLS land cover, containing discrete land cover categorization for the period 2015–2019), with spatial resolution 100m; and d) 4) The WorldCover maps of the European Space Agency —available for the years 2020 and 2021, produced at 10m resolution."
"5.2","Présentation statistique","Couverture","Data are disseminated for the 1992–2023 period and cover 197 countries and 41 territories according to the FAOSTAT Statistical Standard on Country and Area Codes for Statistical Use. Data are available by calendar year."
"5.3","Présentation statistique","Couverture sectorielle","Land cover; Environment; Land Accounting"
"5.4","Présentation statistique","Concepts et définitions statistiques","Land is a central component of economic and environmental accounting. As defined by the System of Environmental-Economic Accounting Central Framework (SEEA CF) land is “a unique environmental asset that delineates the space in which economic activities and environmental processes take places and within which environmental assets and economic assets are located”. Land cover refers to the observed physical and biological land cover of the Earth’s surface, and includes natural vegetation and abiotic (non-living) surfaces (SEEA CF, 5.257). The land cover classification of the SEEA CF currently is the international standard to prepare the physical accounts for land cover. The SEEA Agriculture, Forestry and Fisheries SEEA-AFF (FAO and UN, 2020) also applies the land cover classification of the SEEA CF. In the scope of the SEEA CF and SEEA AFF, land cover information is relevant for understanding the changing composition and condition of countries ecosystems, including its agricultural and forest landscape. A physical asset account for land cover with opening stocks, additions and reductions to stock, recording of net changes and closing stock is formulated in the SEEA AFF (Table 4.9 Physical land cover asset account)."
"5.5","Présentation statistique","Superficie de référence","Areas of all the countries and territories of the world. Country and area codes are assigned following the FAO Statistical Standard on Country and Area Codes for Statistical Use based on the UN M49."
"5.6","Présentation statistique","Couverture temporelle","Area from MODIS-LCCS combined: 2001 – 2023; Area from CCI-LC: 1992 – 2022; Area from GLCS: 2015 - 2019; Area from WorldCover: 2020 & 2021."
"5.7","Présentation statistique","Période de base","Not Applicable"
"6.0","Unité de mesure","Unité de mesure","Areas values are in 1000 ha (hectares)"
"7.0","Période de référence","Période de référence","Calendar year."
"8.1","Mandat institutionnel","Actes législatifs et autres accords","Article I of the FAO Constitution requires the Organization to collect, analyze, interpret and disseminate information relating to nutrition, food and agriculture (FAO, 2017)."
"8.2","Mandat institutionnel","Acquisition des données et transmission des données","Data on Land Cover is extracted from four geospatial datasets; MODIS LCCS, CCI-LC, GLCS, and WorldCover. All datasets are distributed openly (CC BY 4.0) by the data producers (NASA, ESA and Copernicus) and were accessed through the Google Earth Engine and Copernicus Climate Data Store platforms."
"9.1","Confidentialité","Politique relative à la confidentialité","FAO Data and statistics are produced in accordance with FAO Policy on Data Protection and the implementation modalities of Principle 4 (Data protection and Statistical Confidentiality) of FAO Statistics and Data Quality Assurance Framework (SDQAF)."
"9.2","Confidentialité","Confidentialité du traitement des données","If any, confidential data are suppressed and not disseminated by FAO. They are marked in the database with SDMX flag “Q - Missing value; suppress”. To avoid residual disclosures, aggregates are also suppressed as necessary."
"9.3","Confidentialité","Confidentialité","Not Applicable"
"10.1","Politique de mise en circulation","Calendrier de publication","FAOSTAT data releases follow a release calendar available publicly. Dates for new data releases are pre-announced on the FAOSTAT homepage."
"10.2","Politique de mise en circulation","Accès au calendrier de publication","https://www.fao.org/faostat/en/#release_calendar"
"10.3","Politique de mise en circulation","Accès utilisateur","As per FAO Policy on Open Data Licensing for FAO Statistical Databases, this work is made available under the Creative Commons Attribution-4.0 International license (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/legalcode.en). By using this database, you agree to be bound by the terms of this license and the FAO Statistical Database Terms of Use (https://www.fao.org/contact-us/terms/db-terms-of-use/en/)"
"10.4","Politique de mise en circulation","Licence de données ouvertes","https://creativecommons.org/licenses/by/4.0"
"11.0","Fréquence de diffusion","Fréquence de diffusion","Yearly"
"12.1","Accessibilité et clarté","Communiqué de presse","Ad-hoc news releases."
