"Subsection Code","Section","Subsection","Metadata"
"1.0","Title","Title","Land, Inputs and Sustainability / Land Use - Metadata"
"2.1","Data source information","Compiling Organization","Food and Agriculture Organization of the United Nations (FAO)"
"2.2","Data source information","Data source","https://www.fao.org/faostat/en/#data/RL"
"3.1","Contacts","Contact organization","Food and Agriculture Organization of the United Nations (FAO)"
"3.2","Contacts","Contact organization unit","Statistics Division (ESS), Environment Statistics team"
"3.3","Contacts","Contact mail address","Viale delle Terme di Caracalla, 00153 Rome, Italy"
"3.4","Contacts","Contact email address","faostat@fao.org"
"4.1","Metadata update","Metadata last posted","07/04/2023"
"4.2","Metadata update","Metadata last update","08/10/2025"
"5.1","Statistical presentation","Data description","The FAOSTAT Land Use domain contains data on twenty-one land use categories and twenty-three categories of irrigation and agricultural practices. Data are available yearly and by country, regional and global levels. The domain includes Land Use Indicators providing information on the percentage share of agricultural and forest land, and their sub-components, including irrigated areas and areas under organic agriculture, within a country land use matrix. Data are available at country, regional and global level, for the following elements: (in percentage) i) Share in Land area; ii) Share in Agricultural land, iii) Share in Cropland; and iv) Share in Forest land; (in ha/pc) v) Area per capita."
"5.2","Statistical presentation","Coverage","Data are disseminated for the 1961–2023 period and cover 246 countries and territories according to the FAOSTAT Statistical Standard on Country and Area Codes for Statistical Use. Data are available by calendar year."
"5.3","Statistical presentation","Sector coverage","Agriculture, Forestry and Fisheries (ISIC A)"
"5.4","Statistical presentation","Statistical concepts and definitions","Land use indicates the socioeconomic use of land (for example, agriculture, forestry, recreation or residential use). In particular it defines a number of services such as agriculture, forestry, industry, transport, housing and other services that use land as a natural and/or economic resource. Land use has to be distinguished from Land Cover which refers instead to to the bio-physical coverage of land (for example, crops, grass, broad-leaved forest, or built-up area).The FAOSTAT Land Use domain includes categories of land primarily focusing on their use for agricultural and forestry activities. Definitions of these items (land categories) are available at: https://www.fao.org/faostat/en/#data/RL.These definitons are compliant with those included in the System of Environmental-Economic Accounting for Agriculture, Forestry and Fisheries (SEEA AFF), the System of Environmental-Economic Accounting Central Framework (SEEA CF) and the Framework for the Development of Environmental Statistics (FDES 2013)"
"5.5","Statistical presentation","Reference area","Areas of all the Countries and Territories of the world. Country and area codes are assigned following the FAO Statistical Standard on Country and Area Codes for Statistical Use based on the UN M49.| Code - reference area: FAOSTAT, M-49, ISO2 and ISO3 "">https://www.fao.org/faostat/en/#definitions"
"5.6","Statistical presentation","Time coverage","Until 2023 and by-item starting year, as follows: 1961: Agricultural land, Agriculture, Arable land, Country area, Cropland, Inland waters, Land area, Land area equipped for irrigation, Permanent crops, Permanent meadows and pastures; 1990: Forest land, Naturally regenerating forest, Other land, Planted Forest; 1990-2015: Primary Forest; 2001: Agriculture area actually irrigated, Cropland area actually irrigated, Temp. crops, Temp. meadows and pastures, Temporary fallow, Perm. meadows &amp; pastures – Cultivated, Perm. meadows &amp; pastures - Nat. growing, Permanent meadows and pastures area actually irrigated; 2004: Agriculture area certified organic, Agriculture area under organic agriculture, Cropland area certified organic, Cropland area under organic agriculture, Perm. meadows &amp; pastures area certified organic, Permanent meadows and pastures area under organic agriculture; 2006: Land area actually irrigated; 2007: Coastal waters, Inland waters used for aquaculture or holding facilities, Inland waters used for capture fisheries, Land used for aquaculture; 2013: Coastal waters used for aquaculture or holding facilities, Coastal waters used for capture, Cropland area under conservation tillage, Cropland area under conventional tillage, Cropland area under zero or no tillage, Cropland under protective cover, EEZ waters used for aquaculture or holding facilities, EEZ waters used for capture fisheries, Exclusive Economic Zone (EEZ), Farm buildings and farmyards, Forestry area actually irrigated. Time series relating to indicators vary by the underlying data availability of each land use type."
"5.7","Statistical presentation","Base period","Not Applicable"
"6.0","Unit of measure","Unit of measure","Areas values are in 1000 ha (hectares); Carbon stocks values (for forest category only) are in million tonnes. In English speaking countries, a tonne is usually referred to as ""metric ton"". Indicators are in percent (%) and hectares per capita (ha/pc)."
"7.0","Reference period","Reference period","Calendar year."
"8.1","Institutional mandate","Legal acts and other agreements","Article I of the FAO Constitution requires the Organization to collect, analyze, interpret and disseminate information relating to nutrition, food and agriculture (FAO, 2017)."
"8.2","Institutional mandate","Data acquisition and data transmission","Data are collected from FAO members through the annual FAO Questionnaire on Land Use, Irrigation and Agricultural Practices. Missing data may be sourced from national statistical yearbooks and other official government data portals.Data on “Forest area’’ and ‘’Carbon stock (below and above-ground biomass)’’ as well as area values for forest sub-category items “Planted forest”, and “Naturally regenerating forest” are sourced from the FAO Global Forest Resource Assessment (FRA). https://fra-data.fao.org"
"9.1","Confidentiality","Confidentiality - policy","FAO Data and statistics are produced in accordance with FAO Policy on Data Protection and the implementation modalities of Principle 4 (Data protection and Statistical Confidentiality) of FAO Statistics and Data Quality Assurance Framework (SDQAF)."
"9.2","Confidentiality","Confidentiality - data treatment","If any, confidential data are suppressed and not disseminated by FAO. They are marked in the database with SDMX flag “Q - Missing value; suppressed”. To avoid residual disclosures, aggregates are also suppressed as necessary."
"9.3","Confidentiality","Privacy","Not applicable"
"10.1","Release Policy","Release calendar","FAOSTAT data releases follow a release calendar available publicly. Dates for new data releases are pre-announced on the FAOSTAT homepage."
"10.2","Release Policy","Release calendar access","https://www.fao.org/faostat/en/#release_calendar"
"10.3","Release Policy","User access","As per FAO Policy on Open Data Licensing for FAO Statistical Databases, this work is made available under the Creative Commons Attribution-4.0 International license (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/legalcode.en). By using this database, you agree to be bound by the terms of this license and the FAO Statistical Database Terms of Use (https://www.fao.org/contact-us/terms/db-terms-of-use/en/)"
"10.4","Release Policy","Open data license","https://creativecommons.org/licenses/by/4.0"
"11.0","Frequency of dissemination","Frequency of dissemination","Yearly"
"12.1","Accessibility and clarity","News release","Ad-hoc news releases."
"12.2","Accessibility and clarity","Publications","The FAO Statistical Yearbook presents data from nearly all FAOSTAT domains, including Land use (https://www.fao.org/statistics/resources/en?indexCatalogue=search-index-statistics&wordsMode=AllWords&fallbacklang=en&topics=d4e854b0-f59e-408e-a1de-8ec69b4a963b&searchMode=all&contentTypes=FAOResources.FaoResourcesPublications&searchQuery=*:*). Data releases are accompanied by a dedicated analytical brief (https://www.fao.org/statistics/resources/en?indexCatalogue=search-index-statistics&wordsMode=AllWords&fallbacklang=en&topics=489947fa-ac7e-48d1-b7e7-9a2e073a992b&searchMode=all&contentTypes=FAOResources.FaoResourcesPublications&searchQuery=*:*)"
"12.3","Accessibility and clarity","Online database","https://www.fao.org/faostat/en/#data/RL"
"12.4","Accessibility and clarity","Micro-data access","No micro data"
"12.5","Accessibility and clarity","Other formats","Not applicable"
"12.6","Accessibility and clarity","Documentation on methodology","Available country notes (https://files-faostat.fao.org/production/RL/RL_EN_Country_Notes.pdf) and details on the methodology (https://files-faostat.fao.org/production/RL/RL_EN.pdf) can be accessed at the Related Documents section ."
"13.1","Relevance","User needs","Agricultural statistics are especially useful for market management/monitoring, production forecasts and policy-making in agricultural and food sectors."
"13.2","Relevance","User satisfaction","Feedback from users are routinely recorded. The FAOSTAT User Consultation took place during April-December 2018. Details on the survey methodology and results are available at https://www.fao.org/3/ca7239en/ca7239en.pdf"
"13.3","Relevance","Completeness","Global coverage (246 countries and territories)"
"14.1","Accuracy and reliability","Overall accuracy","Questionnaire reporting rate (defined as the number of countries returning the questionnaire to FAO with at least one data point) for the 2024 dispatch is 40%. The imputation rate (defined as the number of imputed observations over the total number of records, excluding Forestry items) is 71%."
"14.2","Accuracy and reliability","Model assumption error","Not applicable."
"14.3","Accuracy and reliability","Imputation indicators","The overall imputation rate for land use is 71 percent."
"14.4","Accuracy and reliability","Data revision - policy","Data are revised annually. Each yearly questionnaire includes data for four years, with the first three years pre-filled for review and modification by the national competent authorities."
"14.5","Accuracy and reliability","Data revision - practice","Revised data are disseminated annually along with updated information."
"15.1","Timeliness and punctuality","Timeliness","Data are normally received 12 months after the reference year and processed and disseminated by FAO within 6 months."
"15.2","Timeliness and punctuality","Punctuality","The whole dataset is released according to the established released calendar or at the latest within one or two weeks after the due date."
"16.1","Coherence and Comparability","Comparability – geographical","FAO strives to ensure geographical comparability of data across countries and territories by promoting the use of standardized statistical classifications, definitions, and methodologies. However, full comparability may be limited due to differences between countries in methods, definitions and coverage. These changes are regularly recorded in countries notes (https://files-faostat.fao.org/internal/RL/RL_EN_Country_Notes.pdf)"
"16.2","Coherence and Comparability","Comparability - over time","FAO strives to ensure comparability over time by promoting the use of standardized statistical classifications, definitions, and methodologies across countries. However, full comparability over time may be limited for some countries due to changes in their methods, definitions and coverage. These changes are regularly recorded in countries notes (https://files-faostat.fao.org/internal/RL/RL_EN_Country_Notes.pdf)"
"16.3","Coherence and Comparability","Coherence","Internal and cross domain coherence is regularly assessed through QA/QC internal processes.Coherence - cross domain: Cross-domain coherence is checked routinely through QA/QC processes. Land Use data are regularly compared for coherence with other FAOSTAT domains, other databases in FAO and in other UN agencies or International Organizations. This includes, regular consistency checks with the FAOSTAT Production/Crops domain; with the FAO AQUASTAT database (https://www.fao.org/nr/water/aquastat/main/index.stm); with the Organic World-net database (http://www.organic-world.net/index.html); with the UNSD data on countries total area (https://unstats.un.org/UNSDWebsite); and with EUROSTAT Agriculture databases (https://ec.europa.eu/eurostat/data/database). Data in FAOSTAT analytical domains of Emissions and Agri-environmental Indicators are fully coherent with the Land Use data in this domain.Coherence - internal: Internal data coherence is checked routinely through QA/QC processes."
"16.4","Coherence and Comparability","Classification system","FAOSTAT Land Use classes are in line with the FAO 2020 World Census of Agriculture; the FAO System of Environmental-Economic Accounting forAgriculture, Forestry and Fisheries (SEEA AFF), which is an Internationally Agreed Methodological Document in support of the UN standard: System of Environmental-Economic Accounting Central Framework (SEEA CF); and the UN Framework for the Development of Environmental Statistics (FDES). | Primary classification: FAO Land Use Classification | Secondary classification: SEEA CF and SEEA AFF Land Use Classification; WCA Land Use Classification.Geographic classifications: M49, ISO."
"17.1","Statistical process","Source data","Data are collected from FAO members through the annual FAO Questionnaire on Land Use, Irrigation and Agricultural Practices. Alternative data sources include national statistical yearbooks and other official government data portals. Supplemental information for further gap filling may be derived from national and international sectoral studies and reports, as well as from land cover statistical information compiled by FAO and disseminated in FAOSTAT. Data on “Forest area’’ and ‘’Carbon stock (below and above-ground biomass)’’ as well as area values for forest sub-category items “Planted forest”, and “Naturally regenerating forest” are sourced from the Forest Resource Assessment (FRA 2025)."
"17.2","Statistical process","Frequency of data collection and acquisition","Yearly"
"17.3","Statistical process","Data collection method","FAO Questionnaire on Land Use, Irrigation and Agricultural Practices."
"17.4","Statistical process","Data validation","Internal quality assurance and control procedures are in place to check for and correct transmission errors, data consistency and completeness."
"17.5","Statistical process","Data compilation","Countries compile and report their data through annual questionnaires. Gap filling and imputations are performed by FAO in line with the International Statistical Standard (http://unstats.un.org/unsd/statcom/ecosoc/2006-6-ResStrengtheningStatCapacity.pdf)"
